hostname,disposition,sy_snum
EPIC 211718105,FALSE POSITIVE,1
EPIC 211718187,CANDIDATE,1
EPIC 211719484,CANDIDATE,1
EPIC 211721325,FALSE POSITIVE,1
EPIC 211724246,CANDIDATE,1
EPIC 211728689,CANDIDATE,1
EPIC 211731298,CANDIDATE,1
EPIC 211732801,FALSE POSITIVE,1
EPIC 211733267,CANDIDATE,1
EPIC 211736305,CANDIDATE,1
EPIC 211737652,FALSE POSITIVE,1
EPIC 211738534,FALSE POSITIVE,1
EPIC 211741619,CANDIDATE,1
EPIC 211744153,FALSE POSITIVE,1
EPIC 211750072,FALSE POSITIVE,1
EPIC 211754117,CANDIDATE,1
EPIC 211754962,CANDIDATE,1
EPIC 211759163,FALSE POSITIVE,1
EPIC 211762841,CANDIDATE,1
EPIC 211764271,FALSE POSITIVE,1
EPIC 211764373,FALSE POSITIVE,1
EPIC 211765695,CANDIDATE,1
EPIC 211768007,FALSE POSITIVE,1
EPIC 211770390,FALSE POSITIVE,1
EPIC 211770867,CANDIDATE,1
EPIC 211783206,CANDIDATE,1
EPIC 211784767,CANDIDATE,1
EPIC 211788221,CANDIDATE,1
EPIC 211796070,CANDIDATE,1
EPIC 211797637,CANDIDATE,1
EPIC 211799258,CANDIDATE,1
EPIC 211800191,CANDIDATE,1
EPIC 211804579,FALSE POSITIVE,1
EPIC 211807456,FALSE POSITIVE,1
EPIC 211808055,CANDIDATE,1
EPIC 211809568,FALSE POSITIVE,1
EPIC 211812160,FALSE POSITIVE,1
EPIC 211812935,CANDIDATE,1
EPIC 211814313,CANDIDATE,1
EPIC 211814733,FALSE POSITIVE,1
EPIC 211817229,CANDIDATE,1
EPIC 211822797,CONFIRMED,1
EPIC 211822953,FALSE POSITIVE,1
EPIC 211825866,CANDIDATE,1
EPIC 211826814,CANDIDATE,1
EPIC 211828142,FALSE POSITIVE,1
EPIC 211829982,FALSE POSITIVE,1
EPIC 211830293,CANDIDATE,1
EPIC 211831378,FALSE POSITIVE,1
EPIC 211834065,CANDIDATE,1
EPIC 211837343,CANDIDATE,1
EPIC 211838158,FALSE POSITIVE,1
EPIC 211839430,FALSE POSITIVE,1
EPIC 211839462,FALSE POSITIVE,1
EPIC 211841496,FALSE POSITIVE,1
EPIC 211843564,CANDIDATE,1
EPIC 211852187,FALSE POSITIVE,1
EPIC 211858408,FALSE POSITIVE,1
EPIC 211858489,FALSE POSITIVE,1
EPIC 211859295,CANDIDATE,1
EPIC 211863149,CANDIDATE,1
EPIC 211876245,CANDIDATE,1
EPIC 211885185,FALSE POSITIVE,1
EPIC 211886472,CANDIDATE,1
EPIC 211892082,CANDIDATE,1
EPIC 211892395,CANDIDATE,1
EPIC 211897272,CANDIDATE,1
K2-339,CANDIDATE,1
EPIC 211901114,CANDIDATE,1
EPIC 211904310,CANDIDATE,1
EPIC 211906259,CANDIDATE,1
EPIC 211906940,FALSE POSITIVE,1
EPIC 211910237,FALSE POSITIVE,1
EPIC 211913395,CANDIDATE,1
EPIC 211914445,CANDIDATE,1
EPIC 211914718,FALSE POSITIVE,1
EPIC 211914889,CANDIDATE,1
EPIC 211914960,CANDIDATE,1
K2-358,CANDIDATE,1
EPIC 211915147,FALSE POSITIVE,1
EPIC 211919555,FALSE POSITIVE,1
EPIC 211919842,FALSE POSITIVE,1
EPIC 211920462,FALSE POSITIVE,1
EPIC 211920528,FALSE POSITIVE,1
EPIC 211920604,FALSE POSITIVE,1
EPIC 211920811,FALSE POSITIVE,1
EPIC 211925181,CANDIDATE,1
EPIC 211925595,CANDIDATE,1
EPIC 211928959,FALSE POSITIVE,1
EPIC 211929937,CANDIDATE,1
EPIC 211934173,FALSE POSITIVE,1
EPIC 211939692,CANDIDATE,1
EPIC 211941472,CANDIDATE,1
EPIC 211942157,FALSE POSITIVE,1
EPIC 211942755,CANDIDATE,1
EPIC 211945201,CONFIRMED,1
EPIC 211946007,FALSE POSITIVE,1
EPIC 211953244,CANDIDATE,1
EPIC 211955798,FALSE POSITIVE,1
EPIC 211964001,FALSE POSITIVE,1
EPIC 211964025,FALSE POSITIVE,1
EPIC 211964332,CANDIDATE,1
EPIC 211964555,FALSE POSITIVE,1
EPIC 211965883,CANDIDATE,1
EPIC 211970234,FALSE POSITIVE,1
EPIC 211972086,FALSE POSITIVE,1
EPIC 211972627,CANDIDATE,1
EPIC 211972681,CANDIDATE,1
EPIC 211972837,FALSE POSITIVE,1
EPIC 211978865,CANDIDATE,1
EPIC 211987231,CANDIDATE,1
EPIC 211988320,CANDIDATE,1
HIP 41232,CANDIDATE,1
EPIC 211995325,CANDIDATE,1
EPIC 211995398,CANDIDATE,1
EPIC 211997641,CANDIDATE,1
EPIC 212002525,FALSE POSITIVE,1
K2-274,CANDIDATE,1
EPIC 212009150,CANDIDATE,1
EPIC 212009427,FALSE POSITIVE,1
EPIC 212009702,FALSE POSITIVE,1
EPIC 212010565,FALSE POSITIVE,1
EPIC 212012387,FALSE POSITIVE,1
EPIC 212019055,FALSE POSITIVE,1
EPIC 212020442,FALSE POSITIVE,1
EPIC 212024647,FALSE POSITIVE,1
EPIC 212024672,CANDIDATE,1
EPIC 212026226,FALSE POSITIVE,1
EPIC 212033577,CANDIDATE,1
EPIC 212035441,CANDIDATE,1
EPIC 212036875,CANDIDATE,1
EPIC 212037403,FALSE POSITIVE,1
EPIC 212039539,FALSE POSITIVE,1
EPIC 212040382,CANDIDATE,1
EPIC 212041206,CANDIDATE,1
EPIC 212041476,CANDIDATE,1
EPIC 212044495,FALSE POSITIVE,1
EPIC 212048046,CANDIDATE,1
EPIC 212048503,FALSE POSITIVE,1
EPIC 212052250,CANDIDATE,1
EPIC 212053988,FALSE POSITIVE,1
EPIC 212060710,FALSE POSITIVE,1
EPIC 212060895,FALSE POSITIVE,1
EPIC 212066407,CANDIDATE,1
